City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
358,Mporokoso,ZM,77.29,overcast clouds,-9.37,30.12,Fairview Home Lodge
359,Paita,PE,66.2,overcast clouds,-5.09,-81.11,Hotel Náutico de Paita
360,Coihaique,CL,60.8,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
361,Yulara,AU,75.2,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
365,Soria,ES,64.99,few clouds,41.67,-2.67,Casa Rural Sierra de Inodejo
368,Moyale,KE,72.37,broken clouds,3.52,39.06,WOCHES PALACE
371,Torres,BR,68.58,broken clouds,-29.34,-49.73,Farol Hotel
376,San Cristobal,VE,75.2,scattered clouds,7.77,-72.22,Pirineos
380,Challans,FR,64.0,overcast clouds,46.84,-1.87,Citotel Le Challans
381,Mpika,ZM,78.17,scattered clouds,-11.83,31.45,Melodies Lodge
386,Kazerun,IR,62.4,clear sky,29.62,51.65,آپارتمان بزرگ اویسا
391,Isangel,VU,75.0,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
394,Ponta Delgada,PT,69.8,broken clouds,37.73,-25.67,Vila Nova Hotel
397,Mar Del Plata,AR,68.0,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
398,San Rafael,AR,76.24,clear sky,-34.62,-68.33,Hotel San Rafael
402,Ranong,TH,78.8,few clouds,9.97,98.63,Tinidee Hotel@Ranong
410,Bose,IT,64.99,overcast clouds,45.46,8.01,Locanda Borgo Antico
411,San Carlos De Bariloche,AR,68.0,clear sky,-41.15,-71.31,Hotel Patagonia
412,Murwillumbah,AU,66.2,clear sky,-28.32,153.4,Murwillumbah Motor Inn
417,Flinders,AU,60.01,scattered clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
421,Mul,IN,70.7,clear sky,20.07,79.67,Prashant hotel
422,Mackay,AU,73.4,scattered clouds,-21.15,149.2,International Lodge Motel
423,Mhlume,SZ,71.6,broken clouds,-26.03,31.85,
428,Noumea,NC,77.0,overcast clouds,-22.28,166.46,Hôtel Le Lagon
433,San Vicente,AR,70.63,clear sky,-26.62,-54.13,Complejo Turístico Farelluk
434,Vila Franca Do Campo,PT,69.8,broken clouds,37.72,-25.43,Pestana Bahia Praia
439,Jhelum,PK,69.1,clear sky,32.93,73.73,Tulip Riverside Hotel And Restaurant Jehlum
440,Chipinge,ZW,78.19,clear sky,-20.19,32.62,Mutare Club
443,Rantepao,ID,66.22,broken clouds,-2.97,119.9,Hotel Luta Resort
448,Chabahar,IR,77.0,clear sky,25.29,60.64,هتل گدروشیا
450,Manta,EC,75.2,broken clouds,-0.95,-80.73,Balandra Hotel
451,Denpasar,ID,77.04,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
453,Port Moresby,PG,78.8,scattered clouds,-9.44,147.18,Lamana Hotel
458,Itapolis,BR,78.73,broken clouds,-21.6,-48.81,Hotel dos Viajantes
464,Necochea,AR,67.71,clear sky,-38.55,-58.74,dyd -mar Hotel
465,Camacha,PT,73.4,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
469,Khunti,IN,75.2,haze,23.08,85.28,SHAKTI LODGE
477,Damietta,EG,78.8,scattered clouds,31.42,31.81,العواد لتجارة الابلكاش
484,Cap Malheureux,MU,69.01,clear sky,-19.98,57.61,Pereybere Hotel & Spa
489,Lixourion,GR,73.4,few clouds,38.2,20.43,Summery Hotel
497,Corpus Christi,US,63.0,clear sky,27.8,-97.4,Holiday Inn Corpus Christi Downtown Marina
498,Progreso,MX,79.0,overcast clouds,21.28,-89.67,Playa Linda Hotel
500,Viedma,AR,78.01,clear sky,-40.81,-63.0,Hotel Cristal
501,Pisco,PE,64.99,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
503,Ibra,OM,67.44,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
505,Naze,JP,71.6,few clouds,28.37,129.48,奄美ポートタワーホテル
509,Karratha,AU,72.52,clear sky,-20.74,116.85,ibis Styles Karratha
511,Plettenberg Bay,ZA,63.18,clear sky,-34.05,23.37,Thanda Vista B&B
512,Phalaborwa,ZA,78.8,overcast clouds,-23.94,31.14,Bothabelo B&B
518,Balikpapan,ID,78.24,overcast clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
519,Charters Towers,AU,72.59,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
521,Pasighat,IN,76.78,overcast clouds,28.07,95.33,Siang Guest House
522,Guhagar,IN,78.44,clear sky,17.48,73.19,Hotel Seawinds
523,La Libertad,EC,71.6,overcast clouds,-2.23,-80.9,Playa Canela Hotel Boutique
526,Chenghai,CN,68.0,clear sky,23.46,116.77,Guangdong Hotel
528,Quatre Cocos,MU,69.8,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
533,Kochinda,IN,73.98,clear sky,21.73,84.35,Shristi Lodge
535,Tay Ninh,VN,78.89,broken clouds,11.3,106.1,Thanh Tuyền Hotel
540,Annau,TM,66.2,clear sky,37.89,58.52,Buzmein Sokak
541,Lahaina,US,78.8,broken clouds,20.88,-156.68,Lahaina Shores Beach Resort
546,Calama,CL,64.4,clear sky,-22.47,-68.93,Park Hotel Calama
548,Ishigaki,JP,77.14,clear sky,24.34,124.16,Hotel Peace Land Ishigakijima
557,La Rioja,ES,73.0,clear sky,42.25,-2.5,Casa Concejos
